StockistCode,StateID,StateName,DistrictName,CityName,CityID,RMName,DGMName
AIOCDW583,17,Punjab & JHC,FEROZEPUR,FEROZEPUR,79,VACANCY,VACANCY
AIOCDW587,14,KARNATAKA,BENGALURU,BENGALURU(BANGALORE),236,VACANCY,VACANCY
AIOCDW595,19,TAMIL NADU,TIRUPPUR(TIRUPUR),UDUMALPET(UDUMALAIPETTAI),1330,VACANCY,VACANCY
AIOCDW532,14,KARNATAKA,MYSURU,MYSURU,274,VACANCY,VACANCY
AIOCDW567,1,TELANGANA,KURNOOL,KURNOOL,250,VACANCY,VACANCY
AIOCDW497,18,RAJASTHAN,JAIPUR,JAIPUR,87,VACANCY,VACANCY
MHAU200260,7,MARATHWADA,AURANGABAD (MH),AURANGABAD(MH),1175,VACANCY,VACANCY
MHAU200261,7,MARATHWADA,AURANGABAD (MH),AURANGABAD(MH),1175,VACANCY,VACANCY
MHMU201216,12,MUMBAI,MUMBAI,MUMBAI,425,VACANCY,VACANCY
AIOCDW650,15,MADHYA PRADESH,JABALPUR,JABALPUR,104,VACANCY,VACANCY
AIOCDW649,14,KARNATAKA,BENGALURU,BENGALURU(BANGALORE),236,VACANCY,VACANCY
AIOCDW667,8,GUJARAT,ANAND,PETLAD,2173,VACANCY,VACANCY
